Food_Name ,Ingredients ,Procedures 
Nigerian Jollof Rice ,"Vegetable oil
Tomatoes, blended
Bell pepper, blended
Onions, diced (some for cooking, some for topping)
Tomato paste
Curry powder
Thyme
Ground pepper (to taste)
Meat stock (chicken or beef)
Seasoning cubes or salt (to taste)
Rice
Water
Butter
Chicken, fish, or other protein (for serving)
","
Heat some oil in a pot and cook the blended tomatoes, bell pepper, and part of the onions until very cooked. Remove from the pot and set aside to cool slightly.
In the same pot, add more oil and the diced onions. Cook until translucent.
Add the tomato paste to the onions and fry until the oil begins to separate from the paste.
Stir in the curry and thyme, cooking for a few minutes to release their flavors.
Add the previously cooked tomato and bell pepper mixture back into the pot. Mix well.
Pour in the meat stock and add ground pepper. Stir and let it come to a simmer.
Season with seasoning cubes or salt to taste.
Wash the rice under cold water and then add it to the pot. Stir to ensure the rice is well coated with the sauce.
Add enough water to cover the rice by about an inch.
Taste and adjust the seasoning as needed.
Place more diced onions on top of the rice, then cover the pot and let it cook on low heat.
When the rice is almost done, add a knob of butter and stir it through to melt and distribute evenly.
Continue cooking until the rice is completely done and fluffy.
Serve the Jollof Rice hot with your choice of chicken, fish, or another protein."
Nigerian Fried rice ,"Vegetable oil
1-2 Scotch bonnet peppers, grated (adjust to your spice preference)
1 large onion, finely chopped (more if desired, for added flavor)
1 teaspoon curry powder
1 teaspoon thyme
Salt to taste
Meat or chicken stock
2 cups rice, washed and drained
1 cup green peppers, chopped
1 cup carrots, chopped
1 cup peas (add last if using frozen)
Optional proteins like fried liver or cooked shrimp
1 cup canned sweet corn
1 cup canned red kidney beans (optional)","Prepare the Rice:
In a large pot, heat some oil over medium heat.
Sauté the grated Scotch bonnet briefly, then add half of the chopped onions along with the curry powder, thyme, and salt.
Pour in the meat or chicken stock and bring to a boil.
Add the rice, reduce heat to low, cover, and cook until the rice is tender. Add more onions towards the end of cooking if desired.
Cook the Vegetables and Proteins:
While the rice cooks, heat some oil in another pan.
Add carrots first as they take longer to cook, followed by green peppers and peas.
If using, add your choice of additional protein and sauté until well cooked.
Combine and Serve:
Once the rice and vegetables are cooked, combine them in a large pot or pan.
Stir in the canned vegetables like sweet corn and kidney beans if using.
Mix everything thoroughly but gently to avoid mashing the ingredients.
Adjust seasoning if needed and serve hot."
Bagel,"4 cups bread flour
1 tbsp sugar
1 tsp salt
1 tbsp vegetable oil
2 tsps instant yeast
1¼ cups warm water
Water for boiling
1 tbsp baking soda

","Mix flour, sugar, salt, and yeast. Add warm water and oil, and knead until smooth.
Let the dough rise until doubled. Punch down and divide into 8 pieces. Shape each into a bagel and let rest for 10 minutes.
Boil water with baking soda. Boil each bagel for 1 minute per side.
Bake at 425°F for about 20 minutes."
Garlic Naan ,"
2 cups all-purpose flour
1 tsp instant yeast
1 tsp sugar
½ tsp salt
⅓ cup warm water
¼ cup yogurt
2 tbsp melted butter
2 cloves garlic, minced","Combine flour, yeast, sugar, and salt. Mix in water, yogurt, and butter to form a dough. Knead until smooth.
Let it rise until doubled. Divide into balls and roll into ovals.
Cook in a hot skillet until bubbly, then flip. Brush with garlic butter."
Donut,"2¼ cups all-purpose flour
⅓ cup sugar
1 packet instant yeast
2 tbsp butter, melted
¼ cup milk, warm
2 eggs
Oil for frying
Sugar or glaze for coating","Mix flour, sugar, and yeast. Add milk, butter, and eggs, and knead until smooth.
Let it rise until doubled. Roll out dough and cut out donuts.
Fry in hot oil until golden. Coat with sugar or glaze."
Sandwich,"
Sliced bread
Cooked chicken, sliced
Carrots, grated
Bell peppers, sliced
Mayonnaise
Mustard (optional)
Salt and pepper
Lettuce (optional)
","
Mix mayonnaise and mustard.
Spread on both slices of bread.
Layer lettuce, chicken, carrots, and bell peppers.
Season with salt and pepper.
Close with the second slice of bread.
"
Potato Salad ,"
Fried/ baked potatoes
Mayonnaise
Carrots 
Cucumbers
Eggs 
","

Mix mayonnaise,
Add potatoes,carrots , cucumbers, eggs and any other thing you would like to add to your salad.  Mix well and chill before serving."
Nigerian Egg Breakfast Stew ,"8 beaten eggs, large
1/2 cup of water, filtered
3 tbsp. of tomato paste, no salt added
1 pepper, scotch bonnet or habanero
1 cup of oil, cooking
1/2 chopped bell pepper, green
1/2 chopped bell pepper, red
1 chopped onion, large
Bouillon cube or salt, kosher, as desired
1/2 tbsp. of garlic, crushed
To garnish: 1 spring onion stalk","Makes 5 servings
Cooking + Prep Time: 20 minutes
Ingredients:

Instructions:
Heat oil in medium pan. Add garlic and onions. Sauté till the onions have
softened.
Add tomato paste to pan. Fry for three minutes and stir, so it won’t burn.
Add chopped peppers. Cook on low for 2 minutes more.
Add 1 cup of water to beaten eggs. Stir gradually into bubbly stew. Break
up eggs by continuously stirring. Serve."
Nigerian Coconut Balls ,"
1 cup of coconut flakes, unsweetened
1/4 cup of sugar, superfine or caster
3 yolks from large eggs
1/2 cup of flour, self-rising
","Makes 14 balls
Cooking + Prep Time: 40 minutes
Preheat oven to 350F.
In medium mixing bowl, combine egg yolks, coconut and sugar, forming
stiff dough. Form the dough in 1” balls. Roll balls in flour, coating them.
Place balls on cookie sheet with 2” between them.
Bake in 350F oven for 18-20 minutes, till golden. Serve."
Waina ,"
2 cups of rice, short grain – you can use jasmine rice if you like
1 tbsp. of yeast
1 tbsp. of sugar, granulated
1 tbsp. of oil, vegetable
1/2 tsp. of ginger, grated
","Makes 2 servings
Cooking + Prep Time: 50 minutes + 6-8 hours sitting time
Soak 1 cup of rice in filtered water. Add 1/2 tbsp. of yeast. Allow to set for
6 to 8 hours.
Boil other rice cup. Mash it well, then set it aside.
Pour soaked rice in food processor. Add mashed rice. Blend till rice is
smooth.
Into blended mixture, add sugar and ginger. Add last tbsp. of yeast. Allow
to rise for 1/2 hour or so.
Grease a pan lightly. Add mixture. Brown on one side. Then, flip and brown
second side. Serve with your favorite syrup."
Pounded yam,Yam(Preferred quantity),"Makes various # of servings
Cooking + Prep Time: 35 minutes
Peel yams using sharp knife. Don’t remove too much flesh.
Remove spoiled spots, discolored areas or bruised areas as you’re peeling.
Cut yams in large chunks. Immediately wash so they don’t become
discolored. Allow them to sit in cool water till you’re ready to use them.
Add yam chunks to med. pot with sufficient water to cover them. Season as
desired.
Boil yams till tender, then remove from the heat. Drain in colander. Reserve
some yam cooking water.
Pour pounded yams in food processor. Begin to blend, then change to
pulsing every 20 to 30 seconds, checking for smoothness. Add water as
needed till you have the texture you desire.
Wrap in parchment paper or cling wrap. Serve with soup of ypur choice "
Chin Chin,"
1 & 3/4 cups plus 2 tbsp. of flour, all-purpose
1/3 cup of sugar, granulated
4 tbsp. of butter, salted
1/2 tsp. of nutmeg, ground
1 egg, large
1/4 cup of milk, evaporated
1/2 tsp. of baking powder
To deep fry: oil, olive
","Makes 10 servings
Cooking + Prep Time: 55 minutes
Mix the dry ingredients in bowl. Set bowl aside.
Mix wet ingredients except butter in separate bowl. Set it aside.
Add the butter to dry mixture. Combine with fingers.
Pour in remainder of wet ingredients. Mix together till it forms a dough.
Wrap the dough in cling wrap. Allow to set on kitchen counter for five
minutes or so.
Unwrap the dough. Roll it out into 1/4” thickness. Cut dough into small
squares.
Place small squares in bowl. Sprinkle them with flour and shake it around
so they won’t be sticky.
Heat oil. Fry dough pieces till light gold in color. Remove and lay out on
layered paper towels. They will start out soft, but as they cook, they will
harden. Serve."
Ogbono ,"

1 to 2 lb. of meat, your choice of cow skin, tripe, stew beef or
oxtail
1 cup of fish, smoked
1 cup of onion, diced
1/2 cup of crayfish, ground
1 tbsp. of bouillon, chicken
3 cups of chopped kale, collard greens or spinach
1/4 to 1/3 cup of oil, palm
1 tbsp. of pepper flakes, red
1/2 cup of ogbono or pumpkin seeds, ground
Salt, kosher, as desired
Pepper, black, as desired
","Makes various # of servings
Cooking + Prep Time: 1 hour & 20 minutes
In medium pan, boil the meat, seasoned as desired, for 30 to 60 minutes, till
tender. Add the smoked fish. Reserve three to 4 cups of meat stock.
Mix ground ogbono or pumpkin seeds with oil. Add to boiled meat pot,
then add scotch bonnet and crayfish. Bring to boil. Then, simmer and allow
to cook for 10 minutes minimum. Add bouillon, if desired.
Add additional stock water if needed, till you reach the thickness you
desire. Then, add spinach or other greens and cook for another two to three
minutes. Turn off heat. Serve hot with preferred swallow."
